FLUX_U,FLUX_G,FLUX_R,FLUX_I,FLUX_Z,R-Z,U-R,G-Z,I-Z,U-G,(G-Z)/(R-Z),R/U,G/Z,R/Z,I/Z,U/G,U/Z,CURV,MAD,F0,F1,F2,F3,F0/Z,F0/G,F0/R,F0/I,F0/F1,F0/F2,F0/F3,F1/U,F1/Z,F1/R,F1/I,F1/F2,F2/Z,F2/R,F2/I,F2/F3,F3/U,F3/Z,F3/R,F3/I,-2.5LOG(U/R),-2.5LOG(U/G),-2.5LOG(G/Z),-2.5LOG(R/Z),-2.5LOG(I/Z),CHI^2_GALAXY,CHI^2_STAR,CHI^2_QSO,CHI^2_GALAXY/CHI^2_QSO,CHI^2_GALAXY/CHI^2_STAR,CHI^2_QSO/CHI^2_STAR,ABBE,RANDOM
1.000,0.983,0.915,0.824,0.684,0.769,-0.836,0.843,0.894,-0.971,0.001,0.000,0.002,0.002,0.002,0.001,0.002,-0.110,0.752,0.998,0.941,0.486,0.648,0.002,0.001,0.001,0.003,0.002,0.002,0.003,0.000,0.002,0.001,0.003,0.002,0.001,0.000,0.000,0.001,0.000,-0.003,-0.003,-0.002,-0.052,-0.012,-0.112,-0.109,-0.081,-0.835,0.832,0.828,-0.001,-0.124,-0.010,-0.182,-0.003
0.983,1.000,0.970,0.898,0.770,0.745,-0.918,0.785,0.915,-0.998,0.001,0.001,0.002,0.002,0.002,0.000,0.002,-0.257,0.785,0.982,0.985,0.528,0.736,0.002,0.000,0.000,0.002,0.001,0.002,0.002,0.001,0.002,0.001,0.002,0.001,0.001,-0.001,0.000,0.001,0.001,-0.003,-0.002,-0.002,0.016,0.039,-0.079,-0.098,-0.079,-0.803,0.799,0.789,-0.001,-0.192,-0.088,-0.241,-0.003
0.915,0.970,1.000,0.970,0.873,0.642,-0.986,0.640,0.884,-0.981,0.002,0.004,0.001,0.001,0.001,-0.002,0.001,-0.424,0.828,0.915,0.996,0.569,0.845,0.001,-0.002,0.000,0.001,-0.001,0.001,0.002,0.004,0.002,0.000,0.001,0.001,0.001,0.000,0.000,0.001,0.001,-0.003,0.000,-0.001,0.125,0.115,-0.006,-0.056,-0.059,-0.742,0.737,0.721,0.000,-0.268,-0.184,-0.320,-0.003
0.824,0.898,0.970,1.000,0.964,0.438,-0.983,0.440,0.753,-0.916,0.002,0.005,0.000,0.000,0.000,-0.003,0.000,-0.425,0.897,0.821,0.950,0.593,0.947,0.000,-0.003,-0.001,0.000,-0.002,0.000,0.001,0.005,0.001,-0.001,0.000,0.000,0.000,0.002,0.000,0.001,-0.002,-0.001,0.004,0.000,0.221,0.167,0.103,0.034,-0.011,-0.666,0.660,0.640,0.000,-0.298,-0.232,-0.386,-0.003
0.684,0.770,0.873,0.964,1.000,0.187,-0.909,0.209,0.552,-0.792,0.003,0.004,-0.001,-0.001,-0.001,-0.004,-0.001,-0.348,0.915,0.680,0.841,0.580,0.998,-0.001,-0.004,-0.001,-0.001,-0.004,0.000,0.000,0.005,-0.001,-0.002,-0.002,-0.001,0.000,0.004,0.001,0.000,-0.010,0.001,0.009,0.002,0.293,0.200,0.209,0.130,0.043,-0.542,0.536,0.515,0.000,-0.302,-0.255,-0.425,-0.004
0.769,0.745,0.642,0.438,0.187,1.000,-0.558,0.960,0.914,-0.732,0.000,0.001,0.004,0.004,0.004,0.002,0.003,-0.308,0.230,0.774,0.685,0.235,0.133,0.003,0.002,0.001,0.004,0.005,0.002,0.004,0.000,0.004,0.003,0.005,0.003,0.001,-0.006,0.000,0.002,0.019,-0.006,-0.014,-0.005,-0.209,-0.083,-0.340,-0.317,-0.187,-0.642,0.642,0.642,-0.001,-0.065,0.030,0.025,-0.001
-0.836,-0.918,-0.986,-0.983,-0.909,-0.558,1.000,-0.524,-0.837,0.938,-0.002,-0.005,-0.001,-0.001,-0.001,0.003,0.000,0.534,-0.819,-0.835,-0.969,-0.575,-0.885,-0.001,0.003,0.001,0.000,0.002,0.000,-0.001,-0.005,-0.001,0.001,-0.001,-0.001,-0.001,0.000,0.000,-0.001,-0.002,0.002,-0.001,0.001,-0.193,-0.162,-0.038,0.031,0.048,0.667,-0.662,-0.641,0.000,0.314,0.247,0.361,0.003
0.843,0.785,0.640,0.440,0.209,0.960,-0.524,1.000,0.866,-0.761,-0.001,-0.002,0.004,0.004,0.003,0.003,0.004,-0.056,0.315,0.844,0.694,0.247,0.160,0.004,0.003,0.002,0.005,0.005,0.003,0.004,-0.003,0.004,0.003,0.005,0.003,0.001,-0.004,0.000,0.002,0.011,-0.006,-0.011,-0.004,-0.261,-0.134,-0.324,-0.276,-0.162,-0.704,0.704,0.709,-0.001,-0.001,0.112,0.044,-0.001
0.894,0.915,0.884,0.753,0.552,0.914,-0.837,0.866,1.000,-0.915,0.001,0.005,0.003,0.003,0.003,0.000,0.002,-0.473,0.552,0.896,0.903,0.428,0.504,0.002,0.000,0.001,0.002,0.002,0.001,0.003,0.004,0.003,0.001,0.003,0.002,0.001,-0.004,0.000,0.002,0.018,-0.006,-0.009,-0.003,-0.033,0.029,-0.193,-0.215,-0.141,-0.748,0.745,0.735,-0.001,-0.188,-0.096,-0.158,-0.002
-0.971,-0.998,-0.981,-0.916,-0.792,-0.732,0.938,-0.761,-0.915,1.000,-0.001,-0.002,-0.002,-0.002,-0.002,0.001,-0.002,0.303,-0.789,-0.970,-0.992,-0.538,-0.759,-0.002,0.001,0.000,-0.002,-0.001,-0.001,-0.002,-0.002,-0.002,-0.001,-0.002,-0.001,-0.001,0.001,0.000,-0.001,-0.001,0.003,0.002,0.002,-0.037,-0.056,0.068,0.094,0.078,0.787,-0.783,-0.771,0.001,0.213,0.113,0.258,0.003
0.001,0.001,0.002,0.002,0.003,0.000,-0.002,-0.001,0.001,-0.001,1.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,0.002,0.001,0.002,0.002,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.001,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,-0.002,-0.001,0.000,-0.005
0.000,0.001,0.004,0.005,0.004,0.001,-0.005,-0.002,0.005,-0.002,0.000,1.000,0.000,0.000,0.000,0.000,0.000,-0.013,0.007,0.000,0.003,0.002,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.983,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.693,0.000,0.000,0.000,-0.005,-0.003,-0.003,-0.002,0.000,0.000,0.000,0.000,0.000,-0.002,-0.002,-0.002,0.000
0.002,0.002,0.001,0.000,-0.001,0.004,-0.001,0.004,0.003,-0.002,0.000,0.000,1.000,0.981,0.970,0.000,0.988,0.000,-0.001,0.002,0.001,0.000,-0.001,0.973,0.000,0.000,0.002,0.002,0.000,-0.006,0.000,0.968,0.000,0.002,0.000,0.263,0.000,0.000,0.002,0.000,-0.736,0.000,0.000,-0.004,0.000,-0.034,-0.047,-0.071,0.000,0.000,0.000,0.000,0.000,0.002,0.002,-0.002
